,Code,name,latitude,longitude,density
303,6349,Ryde / Charlevoix,45.4757434,-73.5646007,7
304,6350,Island / Centre,45.48149081388884,-73.56475353240967,13
305,6354,Marcil / Sherbrooke,45.471743,-73.613924,8
306,6355,Ontario / Sicard,45.55626186680846,-73.53744059801102,7
307,6356,de Monkland / Girouard,45.47710675189806,-73.6214379966259,7
308,6357,13e avenue / St-Zotique,45.557487317400046,-73.5887485742569,13
309,6358,1ère  avenue / St-Zotique,45.551937362101,-73.59392791986465,18
310,6359,Ste-Catherine / St-Laurent,45.50981336049594,-73.5638952255249,1
311,6360,8e avenue / Beaubien,45.553215,-73.58752,15
312,6361,Molson / Beaubien,45.54968589617967,-73.59115451574326,17
313,6362,1ère avenue / Rosemont,45.54779995287998,-73.58486741781235,19
314,6363,de la Côte St-Antoine / Royal,45.46892698487744,-73.6198702454567,7
315,6364,de Chambly / Rachel,45.54991069359101,-73.55826258659361,13
316,6366,Wilderton  / Van Horne,45.51014162409143,-73.6247518658638,5
317,6367,3e avenue / Dandurand,45.54729491851639,-73.57899874448776,17
318,6368,10e avenue / Masson,45.55030553030546,-73.57335269451141,15
319,6369,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,1
320,6370,d'Orléans / Masson,45.557192,-73.569847,8
321,6371,4e avenue / Masson,45.546978,-73.575515,15
322,6372,1ère avenue / Masson,45.5451997,-73.57645065,19
323,6373,7e avenue / St-Joseph Rosemont,45.547226645250745,-73.56986984610558,15
324,6374,15e avenue / Masson,45.55389801568004,-73.5713866353035,11
325,6375,Métro Place St-Henri (St-Ferdinand / St-Jacques),45.477249,-73.587238,8
326,6376,de Chambly / St-Joseph,45.552842358447656,-73.56529533863068,10
327,6377,Grand Trunk / Hibernia,45.47968,-73.56385,11
328,6379,de l'Église / Bannantyne,45.4632535358533,-73.57587933540344,7
329,6380,Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal),45.551584,-73.561916,13
330,6381,Omer-Lavallée / du Midway,45.5457759528664,-73.56217458844185,12
331,6383,Bourbonnière / du Mont-Royal,45.55357073967113,-73.56049418449402,12
332,6384,Darling / Sherbrooke,45.54545890380305,-73.55666935443878,12
333,6385,de Bordeaux / Gilford,45.53611005443118,-73.5762870311737,34
334,6386,Métro Préfontaine (Moreau / Hochelaga),45.54178033474308,-73.55571448802948,14
335,6387,Métro Joliette  (Joliette / Hochelaga),45.54690718297082,-73.5515570640564,15
336,6388,d'Orléans / Hochelaga,45.55076798270114,-73.54942739009857,13
337,6389,Boyer / Jean-Talon,45.54158631132448,-73.61248075962067,26
338,6391,Aylwin / Ontario,45.54428417385149,-73.54533970355988,10
339,6393,Dézéry / Ontario,45.54111008519643,-73.54754984378815,12
340,6394,Valois / Ontario,45.54740496161695,-73.54467451572418,11
341,6395,Métro Viau (Pierre-de-Coubertin / Viau),45.561782815423854,-73.54661107063293,7
342,6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421375524564,-73.55155974626541,11
343,6397,Marché Maisonneuve,45.55321884238814,-73.53978216648102,11
344,6398,Desjardins / Ontario,45.5511918874866,-73.54087248444557,10
345,6401,des Seigneurs / Notre-Dame,45.48772278774177,-73.5690826177597,20
346,6402,Ste-Émilie / Sir-Georges-Etienne-Cartier,45.47266800851548,-73.585389778018,5
347,6403,Georges-Vanier / Notre-Dame,45.48504797982277,-73.5719633102417,19
348,6404,Quesnel / Vinet,45.485889,-73.577514,22
349,6405,Duvernay / Charlevoix,45.4820980397155,-73.57487618923187,15
350,6406,Marché Atwater,45.48020822800015,-73.57759863138199,13
