,Code,name,latitude,longitude,density,elevation_meters
238,6252,Mozart / St-Laurent,45.53318,-73.61544,31,60
239,6253,Métro Jean-Talon (de Chateaubriand / Jean-Talon),45.540138286478616,-73.61402839422226,33,59
240,6254,Boyer / Bélanger,45.54006,-73.60897,31,63
241,6255,Boyer / St-Zotique,45.53848,-73.60556,33,61
242,6257,de St-Vallier / St-Zotique,45.53626117851967,-73.60754549503326,36,59
243,6258,Parc Père-Marquette (Chambord / Rosemont),45.53708783301333,-73.59321847558022,30,67
244,6259,Dandurand / de Lorimier,45.540881,-73.584157,26,60
245,6260,Cartier / Dandurand,45.53923559055867,-73.58594566583633,30,61
246,6261,Louis-Hémon / Rosemont,45.54459855947176,-73.58822286128998,22,67
247,6262,de la Roche /  de Bellechasse,45.53715922533132,-73.59747648239136,29,70
248,6263,de Hampton / de Monkland,45.47117930747152,-73.6270022392273,8,70
249,6264,Chabot / de Bellechasse,45.5425697477813,-73.59214425086974,25,66
250,6265,Parthenais / Laurier,45.539258526059406,-73.5774591565132,34,53
251,6266,Louis-Hébert / de Bellechasse,45.546661109634606,-73.58868420124054,21,65
252,6267,Chabot / Beaubien,45.54437554639807,-73.59564453363419,23,63
253,6268,Chambord / Beaubien,45.539932183126695,-73.59934329986572,21,62
254,6269,Wurtele / de Rouen,45.5376278134876,-73.5533943772316,18,22
255,6270,Fabre / St-Zotique,45.54345172630376,-73.60101029276848,24,60
256,6271,St-Jean-Baptiste / Notre-Dame,45.640002860465096,-73.49011301994324,40,17
257,6272,de Bordeaux / St-Zotique,45.546539011777845,-73.59866470098495,23,59
258,6273,Cartier / Bélanger,45.546797412794085,-73.60266387462616,23,57
259,6274,de la Roche / St-Joseph,45.531164,-73.583695,46,53
260,6275,Chambord / Jean-Talon,45.54484558108033,-73.61053615808486,25,59
261,6276,de la Roche / Bélanger,45.54166959576632,-73.60760450363159,26,62
262,6277,Louis-Hébert / Beaubien,45.5481863712796,-73.592010140419,20,60
263,6278,Louis-Hébert / St-Zotique,45.55001,-73.59576,20,59
264,6279,Louis-Hébert / Bélanger,45.55158518908433,-73.59916493296623,18,54
265,6280,Casgrain / Laurier,45.52437479806464,-73.5918103158474,45,69
266,6281,Resther / St-Joseph,45.52769780849099,-73.58625277876854,51,56
267,6301,Parc Outremont (Bloomfield / Elmwood),45.518309446368,-73.60328614711761,22,79
268,6302,Stuart / St-Viateur,45.516078703024085,-73.60779762268066,13,82
269,6303,Pratt / Van Horne,45.51414486304299,-73.6203020811081,7,92
270,6304,Rockland / Lajoie,45.515617,-73.614991,12,88
271,6305,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871,11,93
272,6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429,7,124
273,6307,Laval / Rachel,45.52017845247635,-73.57942387461662,49,57
274,6309,4e avenue / de Verdun,45.4568844514464,-73.57260704040527,10,17
